Hostname,ManagementIp,HwSku,Type
str-msn2700-01,10.251.0.188/23,Mellanox-2700,DevSonic
str-7260-10,10.251.0.13/23,Arista-7260QX-64,FanoutLeaf
str-7260-11,10.251.0.234/23,Arista-7260QX-64,FanoutRoot
str-acs-serv-01,10.251.0.245/23,TestServ,Server
arc-switch1003,10.210.25.43/24,Mellanox-2700,DevSonic
arc-switch1039,10.210.25.47/24,Mellanox-2700,DevSonic
arc-switch1007,10.210.25.42/24,Mellanox-2700,DevSonic
arc-switch1005,10.210.24.23/24,Mellanox-2700,DevSonic
arc-switch1035,10.210.25.46/24,Mellanox-2700,DevSonic
mts-sonic-fanout,10.12.74.64/24,Mellanox-2700,FanoutLeaf
arc-switch232-005,0.0.0.0/0,Mellanox-3700,FanoutLeaf
arc-switch232-007,0.0.0.0/0,Mellanox-3700,FanoutLeaf
